Index,AUTO-cpu-revision,AUTO-gpu-revision,CPU,GPU
89,3.6079999999999997,0.37720000000000004,4.826,0.9148
90,3.336,0.3912,4.792,0.9179999999999999
91,3.0959999999999996,0.36419999999999997,4.424,0.9212
92,2.992,0.3726,4.39,0.9517999999999999
93,2.826,0.42679999999999996,4.496,0.9517999999999999
94,2.384,0.4382,4.1659999999999995,0.9517999999999999
95,2.3882000000000003,0.44980000000000003,4.446,0.9517999999999999
96,1.7964161,0.4614000000000001,4.13,0.9517999999999999
97,1.8008165200000001,0.4744,4.146000000000001,0.9224
98,1.80501692,0.4902,4.15,0.851
99,1.8092173200000001,0.5494,4.151999999999999,0.8484
100,1.8134141,0.5641999999999999,4.162,0.8865999999999999
101,1.6656144199999996,0.579,4.0200000000000005,0.8865999999999999
102,1.50601474,0.5936,4.208,0.9113999999999999
103,1.00402584,0.6126,4.208,0.9094
104,0.9480264599999998,0.6274,4.548,0.8687999999999999
105,0.94402708,0.6419999999999999,4.568,0.8622
106,0.77182768,0.657,4.59,0.8558
107,0.77183134,0.6719999999999999,4.6240000000000006,0.8503999999999999
108,0.77183164,0.6868000000000001,4.644,0.844
109,0.77183192,0.653,4.162,0.7979999999999999
110,0.6218322000000001,0.7247999999999999,4.202,0.7948
111,0.61783248,0.74,4.054,0.7918000000000001
112,0.61383276,0.7558,4.442,0.7886
113,0.38664996,0.7708,4.4799999999999995,0.8082
114,0.38245024,0.786,4.518,0.8018000000000001
115,0.3780513,0.8009999999999999,5.214,0.7956000000000001
116,0.37385157999999996,0.8192,5.274,0.7892
117,0.1818728,0.8390000000000001,4.151999999999999,0.7336
118,0.17767252000000003,0.8540000000000001,3.3379999999999996,0.7137999999999999
119,0.17347222,0.8658000000000001,3.4159999999999995,0.7152000000000001
120,0.16927194,0.8826,3.496000000000001,0.7168
121,0.16487166,0.8931999999999999,3.5760000000000005,0.7184
122,8.04e-05,0.859,3.6479999999999997,0.7302
123,8.062000000000001e-05,0.8897999999999999,3.7079999999999997,0.7015
124,8.824e-05,0.9026,3.808,0.70026
125,8.796e-05,0.9116,3.87,0.69882
126,8.246e-05,0.9212,4.204,0.6976
127,8.507999999999999e-05,0.9486000000000001,4.284000000000001,0.6051599999999999
128,8.096e-05,0.9494,4.364,0.6037199999999999
129,8.096e-05,0.9506,4.417999999999999,0.5851
130,7.722e-05,0.9506,4.4959999999999996,0.58466
131,7.69e-05,0.9244,4.577999999999999,0.58282
132,8.170000000000001e-05,0.952,4.656,0.5806
133,8.01e-05,0.9296,4.734,0.5787599999999999
134,8.268e-05,0.9263999999999999,4.814,0.54174
135,8.234e-05,0.9244,4.8919999999999995,0.5303199999999999
