"Time","GPU 0","GPU 0"
2025-09-18 11:11:02,63%,
2025-09-18 11:11:04,62%,
2025-09-18 11:11:06,64%,
2025-09-18 11:11:08,60%,
2025-09-18 11:11:10,60%,
2025-09-18 11:11:12,63%,
2025-09-18 11:11:14,63%,
2025-09-18 11:11:16,53%,
2025-09-18 11:11:18,62%,
2025-09-18 11:11:20,59%,
2025-09-18 11:11:22,14%,
2025-09-18 11:11:24,56%,
2025-09-18 11:11:26,61%,
2025-09-18 11:11:28,60%,
2025-09-18 11:11:30,60%,
2025-09-18 11:11:32,61%,
2025-09-18 11:11:34,57%,
2025-09-18 11:11:36,60%,
2025-09-18 11:11:38,58%,
2025-09-18 11:11:40,59%,
2025-09-18 11:11:42,63%,
2025-09-18 11:11:44,61%,
2025-09-18 11:11:46,62%,
2025-09-18 11:11:48,66%,
2025-09-18 11:11:50,62%,
2025-09-18 11:11:52,61%,
2025-09-18 11:11:54,58%,
2025-09-18 11:11:56,58%,
2025-09-18 11:11:58,35%,
2025-09-18 11:12:00,59%,
2025-09-18 11:12:02,65%,
2025-09-18 11:12:04,61%,
2025-09-18 11:12:06,64%,
2025-09-18 11:12:08,61%,
2025-09-18 11:12:10,59%,
2025-09-18 11:12:12,62%,
2025-09-18 11:12:14,14%,
2025-09-18 11:12:16,61%,
2025-09-18 11:12:18,62%,
2025-09-18 11:12:20,64%,
2025-09-18 11:12:22,62%,
2025-09-18 11:12:24,58%,
2025-09-18 11:12:26,57%,
2025-09-18 11:12:28,55%,
2025-09-18 11:12:30,57%,
2025-09-18 11:12:32,56%,
2025-09-18 11:12:34,58%,
2025-09-18 11:12:36,60%,
2025-09-18 11:12:38,57%,
2025-09-18 11:12:40,60%,
2025-09-18 11:12:42,64%,
2025-09-18 11:12:44,60%,
2025-09-18 11:12:46,61%,
2025-09-18 11:12:48,29%,
2025-09-18 11:12:50,62%,
2025-09-18 11:12:52,61%,
2025-09-18 11:12:54,62%,
2025-09-18 11:12:56,62%,
2025-09-18 11:12:58,56%,
2025-09-18 11:13:00,47%,
2025-09-18 11:13:02,63%,
2025-09-18 11:13:04,42%,
2025-09-18 11:13:06,65%,
2025-09-18 11:13:08,63%,
2025-09-18 11:13:10,60%,
2025-09-18 11:13:12,63%,
2025-09-18 11:13:14,62%,
2025-09-18 11:13:16,62%,
2025-09-18 11:13:18,62%,
