step,ram-cpu_queue-proxy,ram-cpu_user-container,ram-gpu_queue-proxy,ram-gpu_user-container,cpu-cpu_queue-proxy,cpu-cpu_user-container,cpu-gpu_queue-proxy,cpu-gpu_user-container,gpu_gpu_0
444,,,,,,,,,
445,8.99 MB,5.73 GB,8.59 MB,6.23 GB,,,567 µs,967 ms,66%
446,,,,,,,,,
447,8.99 MB,5.73 GB,8.60 MB,6.23 GB,,,571 µs,967 ms,67%
448,,,,,,,,,
449,8.99 MB,5.73 GB,8.60 MB,6.23 GB,,,571 µs,967 ms,67%
450,,,,,,,,,
451,8.99 MB,5.73 GB,8.60 MB,6.23 GB,,,570 µs,967 ms,65%
452,,,,,,,,,
453,8.99 MB,5.73 GB,8.60 MB,6.23 GB,,,570 µs,967 ms,63%
454,,,,,,,,,
455,8.99 MB,5.73 GB,8.60 MB,6.23 GB,,,570 µs,967 ms,65%
456,,,,,,,,,
457,8.99 MB,5.73 GB,8.60 MB,6.23 GB,,,570 µs,967 ms,62%
458,,,,,,,,,
459,8.99 MB,5.73 GB,8.60 MB,6.23 GB,,,570 µs,967 ms,61%
460,,,,,,,,,
461,8.99 MB,5.73 GB,8.60 MB,6.23 GB,,,570 µs,967 ms,62%
462,,,,,,,,,
463,8.99 MB,5.73 GB,8.61 MB,6.23 GB,,,481 µs,967 ms,62%
464,,,,,,,,,
465,8.99 MB,5.73 GB,8.61 MB,6.23 GB,,,573 µs,967 ms,64%
466,,,,,,,,,
467,8.99 MB,5.73 GB,8.61 MB,6.23 GB,,,573 µs,967 ms,63%
468,,,,,,,,,
469,8.99 MB,5.73 GB,8.61 MB,6.23 GB,,,573 µs,967 ms,64%
470,,,,,,,,,
471,8.99 MB,5.73 GB,8.61 MB,6.23 GB,,,573 µs,967 ms,62%
472,,,,,,,,,
473,8.99 MB,5.73 GB,8.61 MB,6.23 GB,,,578 µs,967 ms,62%
474,,,,,,,,,
475,8.99 MB,5.73 GB,8.61 MB,6.23 GB,,,578 µs,399 ms,65%
476,,,,,,,,,
477,8.99 MB,5.73 GB,8.61 MB,6.23 GB,,,578 µs,666 ms,24%
478,,,,,,,,,
479,8.99 MB,5.73 GB,8.61 MB,6.23 GB,,,578 µs,698 ms,66%
480,,,,,,,,,
